mets,rxn1,rxn2,type,maxCosine,cosines,formula1,formula2
amp[c],RC01049,RCC0127,P/C,0.0509074527463255,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + coa[c] + Rtotal6[c]  -> amp[c] + ppi[c] + Rtotal6coa[c] 
amp[c],RC01049,RCC0128,P/C,0.0509074527463255,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + coa[c] + Rtotal[c]  -> amp[c] + ppi[c] + Rtotalcoa[c] 
amp[c],RC01049,RCC0129,P/C,0.0509074527463255,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + coa[c] + Rtotal3[c]  -> amp[c] + ppi[c] + Rtotal3coa[c] 
amp[c],RC01049,RCC0130,P/C,0.0509074527463255,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + coa[c] + vacc[c]  -> amp[c] + ppi[c] + vacccoa[c] 
amp[c],RC01049,RCC0142,P/C,0.0323730982144471,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,2 atp[c] + h2o[c] + 2 cys-L[c] + 2 trdrd[c] + cpmp[c]  -> 4 h[c] + 2 amp[c] + 2 ppi[c] + 2 ala-L[c] + 2 trdox[c] + molybd[c] 
amp[c],RC01049,RCC0143,P/C,0,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + 2 h[c] + molybd[c] + mobd[c]  -> amp[c] + h2o[c] + ppi[c] + moco[c] 
amp[c],RC01049,RCC0147,P/C,0.0509074527463255,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + coa[c] + fa16p1n7[c]  -> amp[c] + ppi[c] + fa16p1n7coa[c] 
amp[c],RC01049,RCC0148,P/C,0.0509074527463255,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + coa[c] + fa17c9[c]  -> amp[c] + ppi[c] + fa17c9coa[c] 
amp[c],RC01049,RCC0149,P/C,0.0509074527463255,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + coa[c] + fa19c11[c]  -> amp[c] + ppi[c] + fa19c11coa[c] 
amp[c],RC01049,RCC0150,P/C,0.0509074527463255,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + coa[c] + Rtotal2[c]  -> amp[c] + ppi[c] + Rtotal2coa[c] 
amp[c],RC01049,RCC0151,P/C,0.0509074527463255,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + coa[c] + Rtotal4[c]  -> amp[c] + ppi[c] + Rtotal4coa[c] 
amp[c],RC01049,RCC0152,P/C,0.0509074527463255,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,atp[c] + coa[c] + Rtotal5[c]  -> amp[c] + ppi[c] + Rtotal5coa[c] 
amp[c],RC01049,RC00181,P/C,0.114817554838302,,atp[c] + r5p[c]  <=> h[c] + amp[c] + prpp[c] ,h[c] + amp[c] + h2o[c]  -> nh4[c] + imp[c] 
amp[c],RC00127,RC01083,P/C,-0.00900210549388636,,atp[c] + amp[c]  <=> 2 adp[c] ,dcamp[c]  -> amp[c] + fum[c] 
amp[c],RC00127,RC00578,P/C,0.174771205844805,,atp[c] + amp[c]  <=> 2 adp[c] ,atp[c] + h2o[c] + gln-L[c] + asp-L[c]  -> h[c] + amp[c] + ppi[c] + glu-L[c] + asn-L[c] 
amp[c],RC00127,RC01280,P/C,0.0346139843916455,,atp[c] + amp[c]  <=> 2 adp[c] ,atp[c] + coa[c] + hdca[c]  -> amp[c] + ppi[c] + pmtcoa[c] 
