,WBID,whole_dataset_geTMM,asel_geTMM,aser_geTMM
17518,WBGene00021807,1.528125182,0.708711095,0.607135654
17519,WBGene00021808,4.111457406,5.110297688,3.71540203
17520,WBGene00021809,0.295766286,1.451072017,0
17521,WBGene00021810,4.77110816,4.752298162,5.085684224
17522,WBGene00021811,5.478258166,6.606367638,5.435228965
17523,WBGene00021812,3.199388733,3.638975976,1.717039245
17524,WBGene00021813,2.676423174,1.247327965,1.428407527
17525,WBGene00021814,0.624840483,0.513619708,0.234329826
17526,WBGene00021815,3.195326622,1.26997225,2.314771558
17527,WBGene00021816,4.898168378,4.675302105,5.290126874
17528,WBGene00021817,2.668228653,3.53663124,2.054006995
17529,WBGene00021818,1.442809819,1.055187547,1.69203373
17530,WBGene00021819,0.710820528,0.520449516,0.400781645
17531,WBGene00021820,4.520416595,6.276962091,5.703965217
17532,WBGene00021826,5.763965393,6.151697934,5.772671441
17533,WBGene00021827,4.981640837,4.93936843,5.317187572
17534,WBGene00021828,2.573036706,0.82278598,1.896525651
17535,WBGene00021829,3.42856931,4.63268826,3.429093728
17536,WBGene00021830,3.991453196,1.695793637,3.02594292
17537,WBGene00021831,4.839706093,5.444199573,4.545788205
17538,WBGene00021832,0.937404124,0.702978529,0.719490842
17539,WBGene00021833,0.087903073,0,0
17540,WBGene00021834,2.384105014,5.42932524,3.691796886
17541,WBGene00021835,1.860296095,1.456373972,1.362424961
17542,WBGene00021837,0.471100633,0.165795643,0.550296385
17543,WBGene00021838,6.425594794,6.386517285,6.657835863
17544,WBGene00021839,7.159523597,8.127876805,6.775649
17545,WBGene00021840,2.366173326,0.454665922,1.472395891
17546,WBGene00021841,2.606249496,1.22726416,2.989193407
17547,WBGene00021842,3.440618683,3.191278181,3.657399594
